	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
799	{7364: 28}	{70996: 21}	{76802: 28}													
800	{76802: 28}															
801	{7364: 28}	{55826: 28}	{70996: 28}													
802	{7364: 28}	{55826: 28}	{76802: 28}													
803	{55826: 28}	{113255: 28}														
804	{113255: 14}															
805	{113255: 28}															
806	{113255: 7}															
807	{76802: 6}	{113255: 6}														
808	{76802: 6}	{113255: 6}														
809	{76802: 6}	{113255: 6}														
810	{76802: 6}	{113255: 6}														
811	{76802: 6}	{113255: 6}														
812	{76802: 6}	{113255: 6}														
813	{76802: 6}	{113255: 6}														
814	{76802: 6}	{113255: 6}														
815	{76802: 6}	{113255: 6}														
816	{76802: 6}	{113255: 6}														
817	{55826: 6}	{70996: 6}														
818	{55826: 6}	{70996: 6}														
819	{55826: 6}	{70996: 6}														
820	{55826: 6}	{70996: 6}														
821	{55826: 6}	{70996: 6}														
822	{55826: 6}	{70996: 6}														
823	{70996: 6}															
824	{55826: 6}	{70996: 6}														
825	{55826: 6}	{70996: 6}														
826	{55826: 6}	{70996: 6}														
827	{55826: 6}	{70996: 6}														
828	{76802: 6}															
829	{70996: 12}															
830	{7364: 28}	{70996: 21}	{76802: 28}													
831	{76802: 7}	{113255: 7}														
832	{55826: 28}	{70996: 28}	{76802: 28}													
833	{55826: 7}	{70996: 7}														
834	{70996: 15}															
835	{7364: 28}	{55826: 28}	{70996: 28}													
836	{70996: 28}															
837	{70996: 7}															
838	{7364: 28}	{113255: 28}														
839	{55826: 7}	{70996: 7}														
840	{76802: 28}	{113255: 28}														
841	{55826: 14}															
842	{76802: 7}	{113255: 7}														
843	{70996: 28}															
844	{55826: 28}															
845	{55826: 28}															
846	{55826: 28}															
847	{7364: 28}															
848	{55826: 28}	{70996: 28}	{76802: 28}													
849	{70996: 28}	{76802: 28}	{113255: 28}													
850	{76802: 7}															
851	{7364: 21}	{55826: 21}	{70996: 21}													
852	{19075: 21}	{74864: 21}	{78678: 21}													
853	{19075: 21}	{74864: 21}	{78678: 21}													
854	{76802: 7}	{113255: 7}														
855	{76802: 7}	{113255: 7}														
856	{76802: 7}	{113255: 7}														
857	{76802: 7}	{113255: 7}														
858	{76802: 7}	{113255: 7}														
859	{76802: 7}	{113255: 7}														
860	{76802: 7}	{113255: 7}														
861	{76802: 7}	{113255: 7}														
862	{76802: 7}	{113255: 7}														
863	{76802: 7}	{113255: 7}														
864	{55826: 7}	{70996: 7}														
865	{7364: 12}	{55826: 18}	{70996: 18}													
866	{55826: 7}	{70996: 7}														
867	{55826: 7}	{70996: 7}														
868	{55826: 7}	{70996: 7}														
869	{55826: 7}	{70996: 7}														
870	{55826: 7}	{70996: 7}														
871	{70996: 7}															
872	{76802: 7}															
873	{55826: 7}	{70996: 7}														
874	{55826: 7}	{70996: 7}														
875	{55826: 7}	{70996: 7}														
876	{76802: 7}	{113255: 7}														
877	{76802: 7}	{113255: 7}														
878	{55826: 7}	{70996: 7}														
879	{55826: 7}	{70996: 7}														
880	{55826: 7}	{70996: 7}														
881	{55826: 7}	{70996: 7}														
882	{55826: 7}	{70996: 7}														
883	{76802: 7}	{113255: 7}														
884	{70996: 28}															
885	{55826: 28}															
886	{55826: 28}															
887	{7364: 14}															
888	{55826: 28}	{113255: 28}														
889	{55826: 35}															
890	{7364: 28}															
891	{113255: 14}															
892	{70996: 28}	{76802: 28}	{113255: 28}													
893	{76802: 28}															
894	{7364: 28}	{70996: 21}	{76802: 28}													
895	{7364: 28}	{55826: 28}	{70996: 28}													
896	{55826: 28}	{70996: 28}	{113255: 28}													
897	{7364: 28}															
898	{7364: 28}	{55826: 28}	{70996: 28}													
899	{7364: 28}	{113255: 28}														
900	{55826: 28}	{70996: 28}	{76802: 28}													
901	{7364: 28}	{55826: 28}	{76802: 28}													
902	{7364: 28}	{55826: 28}	{70996: 28}													
903	{113255: 28}															
904	{55826: 28}	{70996: 28}	{76802: 28}													
905	{76802: 7}	{113255: 7}														
906	{55826: 28}	{113255: 28}														
907	{7364: 28}	{55826: 56}	{70996: 56}													
908	{55826: 28}	{70996: 28}	{76802: 28}													
909	{19075: 21}	{74864: 21}	{78678: 21}													
910	{7364: 21}	{55826: 21}	{70996: 21}													
911	{19075: 21}	{74864: 21}	{78678: 21}													
912	{19075: 21}	{74864: 21}	{78678: 21}													
913	{76802: 7}	{113255: 7}														
914	{55826: 28}															
915	{55826: 28}	{70996: 28}														
916	{70996: 28}															
917	{55826: 7}	{70996: 7}														
918	{76802: 7}	{113255: 7}														
919	{76802: 7}	{113255: 7}														
920	{76802: 7}	{113255: 7}														
921	{55826: 7}	{70996: 7}														
922	{70996: 28}															
923	{55826: 7}	{70996: 7}														
924	{55826: 7}	{70996: 7}														
925	{76802: 7}	{113255: 7}														
926	{7364: 21}	{55826: 21}	{70996: 21}													
927	{76802: 7}	{113255: 7}														
928	{76802: 7}	{113255: 7}														
929	{76802: 7}	{113255: 7}														
930	{76802: 7}	{113255: 7}														
931	{76802: 7}	{113255: 7}														
932	{76802: 7}	{113255: 7}														
933	{76802: 7}	{113255: 7}														
934	{76802: 7}	{113255: 7}														
935	{55826: 7}	{70996: 7}														
936	{55826: 7}	{70996: 7}														
937	{76802: 7}	{113255: 7}														
938	{55826: 7}	{70996: 7}														
939	{55826: 7}	{70996: 7}														
940	{55826: 7}	{70996: 7}														
941	{55826: 7}	{70996: 7}														
942	{55826: 7}	{70996: 7}														
943	{55826: 7}	{70996: 7}														
944	{7364: 28}															
945	{55826: 7}	{70996: 7}														
946	{76802: 7}															
947	{70996: 14}															
948	{55826: 154}	{76802: 7}														
949	{76802: 7}	{113255: 7}														
950	{76802: 7}	{113255: 7}														
951	{76802: 7}	{113255: 7}														
952	{76802: 7}	{113255: 7}														
953	{76802: 7}	{113255: 7}														
954	{55826: 7}	{70996: 7}														
955	{76802: 7}	{113255: 7}														
956	{55826: 7}	{70996: 7}														
957	{55826: 7}	{70996: 7}														
958	{55826: 7}	{70996: 7}														
959	{55826: 7}	{70996: 7}														
960	{55826: 7}	{70996: 7}														
961	{55826: 7}	{70996: 7}														
962	{76802: 7}	{113255: 7}														
963	{76802: 7}	{113255: 7}														
964	{76802: 7}	{113255: 7}														
965	{76802: 7}	{113255: 7}														
966	{76802: 7}	{113255: 7}														
967	{76802: 7}	{113255: 7}														
968	{76802: 7}	{113255: 7}														
969	{76802: 7}	{113255: 7}														
970	{76802: 7}	{113255: 7}														
971	{76802: 7}	{113255: 7}														
972	{55826: 7}	{70996: 7}														
973	{55826: 7}	{70996: 7}														
974	{55826: 7}	{70996: 7}														
975	{55826: 7}	{70996: 7}														
976	{55826: 7}	{70996: 7}														
977	{55826: 7}	{70996: 7}														
978	{55826: 7}	{70996: 7}														
979	{55826: 7}	{70996: 7}														
980	{55826: 7}	{70996: 7}														
981	{76802: 7}															
982	{55826: 7}	{70996: 7}														
983	{70996: 14}															
984	{76802: 7}	{113255: 7}														
985	{76802: 7}	{113255: 7}														
986	{76802: 7}	{113255: 7}														
987	{76802: 7}	{113255: 7}														
988	{76802: 7}	{113255: 7}														
989	{76802: 7}	{113255: 7}														
990	{76802: 7}	{113255: 7}														
991	{76802: 7}	{113255: 7}														
992	{76802: 7}	{113255: 7}														
993	{76802: 7}	{113255: 7}														
994	{55826: 7}	{70996: 7}														
995	{76802: 7}															
996	{55826: 28}															
997	{55826: 14}															
998	{70996: 14}															
999	{70996: 28}															
1000	{7364: 14}															
1001	{113255: 28}															
1002	{7364: 28}															
1003	{76802: 14}															
1004	{55826: 35}															
1005	{7364: 28}															
1006	{55826: 28}	{70996: 28}	{113255: 28}													
1007	{70996: 28}	{76802: 28}	{113255: 28}													
1008	{76802: 28}															
1009	{55826: 28}	{70996: 28}	{113255: 28}													
