	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
200	{7364: 14}	{55826: 14}														
201	{76802: 14}															
202	{113255: 14}															
203	{55826: 14}	{70996: 21}														
204	{55826: 28}															
205	{55826: 14}															
206	{70996: 7}															
207	{70996: 14}															
208	{70996: 14}															
209	{55826: 28}	{70996: 14}														
210	{7364: 14}															
211	{55826: 14}															
212	{55826: 14}															
213	{7364: 14}	{55826: 28}														
214	{55826: 28}															
215	{7364: 21}	{55826: 21}	{70996: 21}													
216	{7364: 21}	{55826: 21}	{70996: 21}													
217	{7364: 21}	{55826: 21}	{70996: 21}													
218	{55826: 28}															
219	{7364: 21}	{55826: 21}	{70996: 21}													
220	{113255: 7}															
221	{113255: 7}															
222	{113255: 7}															
223	{113255: 7}															
224	{7364: 28}	{76802: 28}	{113255: 28}													
225	{55826: 28}	{113255: 28}														
226	{55826: 28}	{76802: 28}	{113255: 28}													
227	{113255: 28}															
228	{7364: 28}	{55826: 28}	{70996: 28}													
229	{7364: 28}															
230	{7364: 28}	{113255: 28}														
231	{55826: 28}	{70996: 28}	{76802: 28}													
232	{70996: 28}															
233	{7364: 28}	{55826: 56}	{70996: 56}													
234	{70996: 28}															
235	{76802: 28}															
236	{7364: 28}															
237	{76802: 42}															
238	{113255: 28}															
239	{7364: 7}	{55826: 21}														
240	{70996: 21}															
241	{7364: 7}	{70996: 14}														
242	{76802: 49}															
243	{7364: 28}															
244	{76802: 7}	{113255: 7}														
245	{113255: 42}															
246	{70996: 28}															
247	{7364: 14}															
248	{55826: 28}															
249	{55826: 28}															
250	{7364: 28}															
251	{55826: 14}															
252	{55826: 35}															
253	{113255: 28}															
254	{7364: 28}															
255	{76802: 28}															
256	{113255: 14}															
257	{76802: 14}															
258	{76802: 14}															
259	{76802: 14}															
260	{76802: 14}															
261	{70996: 28}	{76802: 28}	{113255: 28}													
262	{7364: 28}	{55826: 28}	{70996: 28}													
263	{55826: 21}															
264	{7364: 14}	{55826: 14}														
265	{113255: 14}															
266	{113255: 14}															
267	{113255: 14}															
268	{113255: 28}															
269	{113255: 28}															
270	{70996: 28}															
271	{7364: 28}	{76802: 28}	{113255: 28}													
272	{19075: 21}	{74864: 21}	{78678: 21}													
273	{7364: 10}															
274	{19075: 21}	{74864: 21}	{78678: 21}													
275	{7364: 10}															
276	{55826: 15}															
277	{19075: 21}	{74864: 21}	{78678: 21}													
278	{7364: 20}															
279	{70996: 10}															
280	{7364: 10}	{55826: 10}														
281	{55826: 28}	{113255: 28}														
282	{7364: 28}	{76802: 28}	{113255: 28}													
283	{55826: 15}															
284	{7364: 20}	{55826: 20}														
285	{7364: 10}	{55826: 10}	{70996: 5}													
286	{55826: 20}															
287	{113255: 28}															
288	{76802: 28}															
289	{113255: 14}															
290	{70996: 15}															
291	{76802: 21}															
292	{76802: 14}															
293	{7364: 21}															
294	{7364: 14}	{55826: 7}	{70996: 7}													
295	{7364: 14}	{55826: 14}														
296	{70996: 12}															
297	{55826: 24}															
298	{55826: 36}															
299	{55826: 24}															
300	{7364: 12}	{70996: 6}														
301	{70996: 18}															
302	{76802: 28}															
303	{7364: 12}	{70996: 12}														
304	{7364: 12}	{70996: 12}														
